tradeAreaCode,category,displayName
3120006,종로구,종로
3120008,종로구,인사동
3120009,종로구,익선동
3120011,종로구,종묘
3001494,종로구,종로
3120012,종로구,혜화
3120014,종로구,광장시장
3120002,종로구,서촌
3120003,종로구,광화문
3120017,종로구,동묘
3120007,종로구,북촌
3120037,중구,동대문
3001493,중구,동대문
3120026,중구,을지로
3120027,중구,명동
3120028,중구,명동
3120029,중구,을지로
3120039,중구,신당
3120031,중구,을지로
3120033,중구,을지로
3120043,중구,서울역
3120024,중구,남산
3120020,중구,시청
3120021,중구,시청
3120022,중구,시청
3001492,중구,명동
3120036,중구,장충동
3120044,용산구,삼각지
3120040,용산구,용산
3120041,용산구,용산
3120047,용산구,한남동
3120046,용산구,이태원
3001491,용산구,이태원
3120045,용산구,숙대입구
3120042,용산구,숙대입구
3120049,성동구,왕십리
3120052,성동구,성수
3120051,성동구,성수
3120050,성동구,서울숲
3120053,광진구,건대
3120056,광진구,구의
3120058,광진구,구의
3120054,광진구,군자
3120055,광진구,군자
3120059,광진구,강변
3120060,광진구,강변
3120057,광진구,군자
3120063,동대문구,청량리
3120065,동대문구,경희대
3120064,동대문구,경희대
3120070,성북구,성북동
3120072,성북구,성신여대
3120073,강북구,미아사거리
3120078,강북구,미아사거리
3120076,강북구,수유
3120077,강북구,미아사거리
3120079,도봉구,창동
3120084,노원구,공릉
3120086,노원구,태릉
3120081,노원구,노원
3120085,노원구,노원
3120092,은평구,불광
3120089,은평구,구파발
3120090,은평구,연신내
3120097,서대문구,충정로
3120094,서대문구,신촌
3120096,서대문구,이대
3120093,서대문구,연희동
3120101,마포구,합정
3120102,마포구,홍대
3120103,마포구,홍대
3120100,마포구,망원동
3120104,마포구,연남동
3120105,마포구,홍대
3120106,마포구,마포
3120110,양천구,목동
3120113,양천구,목동
3120120,강서구,화곡
3120121,강서구,화곡
3120115,강서구,김포공항
3120111,양천구,목동
3120118,강서구,마곡
3120119,강서구,마곡
3120125,구로구,구로
3120129,구로구,구로디지털단지
3120130,구로구,구로디지털단지
3120128,구로구,신도림
3120126,구로구,구로디지털단지
3120131,금천구,가산디지털단지
3120145,영등포구,영등포
3120143,영등포구,당산
3120137,영등포구,문래
3120136,영등포구,영등포
3120142,영등포구,대림
3120139,영등포구,대림
3120149,영등포구,여의도
3120150,영등포구,여의도
3120148,영등포구,여의도
3120147,동작구,보라매
3120152,동작구,보라매
3120156,동작구,이수
3120153,동작구,노량진
3120151,동작구,보라매
3120155,동작구,이수
3120159,관악구,서울대입구
3120157,관악구,신림
3120158,관악구,서울대입구
3120169,서초구,서초
3120171,서초구,서초
3120179,서초구,양재
3120183,서초구,양재천
3120173,서초구,교대
3120189,강남구,강남
3120178,서초구,신사
3120174,강남구,논현
3120176,강남구,논현
3120177,강남구,논현
3120182,서초구,양재
3120165,서초구,반포
3120167,서초구,반포
3120162,서초구,방배
3120163,서초구,사당
3120160,서초구,사당
3120166,서초구,방배
3120197,강남구,강남
3120210,강남구,강남
3120185,강남구,논현
3120187,강남구,논현
3120191,강남구,학동
3120208,강남구,청담
3120200,강남구,학동
3120207,강남구,강남
3120202,강남구,압구정로데오
3120193,강남구,청담
3120222,강남구,삼성
3120186,강남구,가로수길
3120188,강남구,압구정
3120218,강남구,삼성
3120221,강남구,삼성
3120220,강남구,대치
3120234,송파구,가락시장
3120225,송파구,잠실새내
3120226,송파구,잠실
3120233,송파구,잠실
3120229,송파구,잠실
3001495,송파구,잠실
3120228,송파구,석촌호수
3120232,송파구,석촌호수
3120235,송파구,가든파이브
3120236,송파구,가든파이브
3120227,송파구,잠실
3120231,송파구,가락시장
3120246,강동구,길동
3120243,강동구,천호
3120245,강동구,둔촌
3120242,강동구,천호
3120248,강동구,고덕
3120249,강동구,고덕
